cluster,rank,gene,log2_fold_change,pval_adj,score
3,4,TYROBP,5.511170864105225,7.58303045907458e-221,31.97791290283203
3,5,FTL,3.504840850830078,1.0726824242282032e-215,31.59817886352539
3,6,FCN1,5.714583873748779,5.2038693785997846e-213,31.3962459564209
3,7,CST3,5.740267276763916,4.845678065083313e-212,31.320253372192383
3,8,S100A6,3.0121359825134277,1.5811484553829874e-203,30.684288024902344
3,9,FTH1,2.872474431991577,1.0875902288105705e-202,30.61416244506836
3,10,LGALS2,6.6356520652771,9.68376564793385e-199,30.312829971313477
3,11,LGALS1,4.445241928100586,1.1846528771636877e-194,29.99817657470703
3,12,GSTP1,3.722888231277466,1.4875107132382264e-177,28.654470443725586
3,13,S100A4,2.7945187091827393,3.5987378972741796e-177,28.621074676513672
3,14,AIF1,4.653149127960205,1.4963961539741182e-175,28.4882755279541
3,15,TYMP,4.326858997344971,1.4726518933249207e-173,28.32465171813965
3,16,OAZ1,2.004148244857788,2.246097301176794e-170,28.062849044799805
3,17,LST1,4.55677604675293,2.683972569226042e-170,28.054473876953125
3,18,GPX1,3.861846446990967,2.4979898609316133e-168,27.89068603515625
3,19,CTSS,3.547053337097168,3.096367199094849e-168,27.88115692138672
3,20,SAT1,3.2335920333862305,1.333471430177446e-153,26.6433162689209
3,21,S100A11,3.266294479370117,7.166637188108388e-152,26.49188995361328
3,22,COTL1,3.0127925872802734,7.732753860356366e-150,26.313232421875
3,23,PSAP,3.226552724838257,2.2367115950941735e-148,26.18218231201172
3,24,FCER1G,4.131774425506592,1.3795579393953769e-145,25.934555053710938
3,25,CYBA,2.0053224563598633,5.123949183142948e-142,25.613340377807617
4,1,NKG7,6.889166355133057,1.651125788911062e-92,20.861284255981445
4,2,GNLY,7.833099365234375,6.532556488367147e-85,19.958791732788086
4,3,GZMB,7.674658298492432,6.532556488367147e-85,19.9523868560791
4,4,CTSW,4.825991630554199,1.421019471443333e-83,19.783321380615234
4,5,PRF1,6.318910598754883,4.6410918730229514e-82,19.59541130065918
4,6,GZMA,5.322539806365967,5.052832628585508e-75,18.74294090270996
4,7,CST7,5.318152904510498,1.1042653555478096e-74,18.693078994750977
4,8,HLA-C,1.4750051498413086,1.086785451079151e-71,18.31450843811035
4,9,B2M,1.0563308000564575,2.8882113624257704e-69,18.00152015686035
4,10,FGFBP2,6.695822238922119,8.059637150473543e-69,17.938743591308594
4,11,HLA-A,1.4092351198196411,8.882329586219199e-57,16.309703826904297
4,12,CD247,3.8431246280670166,1.6809338547734314e-52,15.691987037658691
4,13,FCGR3A,4.27561092376709,2.0650737004210773e-50,15.374977111816406
4,14,HLA-B,1.2652463912963867,2.1300353411138426e-46,14.752812385559082
4,15,SPON2,6.138381481170654,1.116136294848295e-45,14.633821487426758
4,16,GZMM,3.559077024459839,3.703072904004792e-45,14.545795440673828
4,17,CD7,2.9288690090179443,7.063613727525188e-41,13.843598365783691
4,18,CCL4,5.10671329498291,4.739353550557887e-40,13.703486442565918
4,19,PLAC8,2.6182749271392822,7.068380349144942e-40,13.671886444091797
4,20,UBB,1.7023805379867554,1.4570657887752513e-39,13.616678237915039
4,21,SRGN,2.235201358795166,2.3302740276750554e-37,13.223074913024902
4,22,ITGB2,2.401130437850952,3.0658188467114628e-37,13.200472831726074
4,23,HOPX,4.105571746826172,6.231874243254907e-34,12.60429859161377
4,24,PFN1,1.2068690061569214,6.085707993746586e-33,12.419776916503906
4,25,ID2,2.5596747398376465,1.7027488950899247e-32,12.333762168884277
5,1,LST1,5.175016403198242,7.757089906263959e-81,19.533889770507812
5,2,FCER1G,4.791562080383301,1.1650268972525584e-77,19.12067222595215
5,3,AIF1,4.822325706481934,6.2914488628194e-76,18.89008331298828
5,4,COTL1,3.6075785160064697,3.3201648214491276e-74,18.664186477661133
5,5,FCGR3A,5.5666327476501465,6.901326957578956e-73,18.48933982849121
5,6,FTH1,2.919421911239624,1.70270434082894e-68,17.925561904907227
5,7,IFITM2,2.9174232482910156,6.744173921860641e-68,17.840234756469727
5,8,IFITM3,4.723485946655273,3.71830708235567e-67,17.737083435058594
5,9,SAT1,3.570467472076416,1.031630858817094e-65,17.542644500732422
5,10,PSAP,3.399477958679199,1.4472002824275464e-63,17.253387451171875
5,11,FTL,3.137967824935913,2.826522863905366e-62,17.075284957885742
5,12,SERPINA1,4.144984722137451,2.70507304976372e-60,16.80181312561035
5,13,CTSS,3.4378907680511475,1.2561247697211874e-59,16.705724716186523
5,14,OAZ1,1.9974387884140015,1.8537567826262755e-58,16.53993034362793
5,15,S100A11,3.2482523918151855,5.8041486667818334e-58,16.46685791015625
5,16,CD68,3.896718978881836,2.9829428554156132e-53,15.789108276367188
5,17,S100A4,2.537632465362549,1.0142279376193245e-52,15.704666137695312
5,18,RP11-290F20.3,4.90345573425293,1.2939163335564663e-52,15.685956001281738
5,19,TIMP1,3.5030782222747803,8.183936978188041e-51,15.414249420166016
5,20,CST3,4.471671104431152,3.665501286092578e-50,15.314188003540039
5,21,CFD,3.864132881164551,4.1202879237204677e-50,15.303812026977539
5,22,CEBPB,3.3974173069000244,9.720063536939498e-50,15.245199203491211
5,23,ACTB,1.2609443664550781,1.0890220056282011e-49,15.235209465026855
5,24,SPI1,3.83805775642395,7.033928356718932e-49,15.110311508178711
5,25,MS4A7,4.9905877113342285,1.1999926557556965e-48,15.072670936584473
6,1,HLA-DPA1,4.278314590454102,5.205738240689619e-17,9.400655746459961
6,2,HLA-DPB1,4.4348464012146,5.205738240689619e-17,9.365182876586914
6,3,HLA-DRA,4.60854959487915,5.973671842895242e-16,9.059810638427734
6,4,HLA-DRB1,4.237393379211426,6.39450980963484e-16,9.020923614501953
6,5,CD74,3.6391496658325195,1.344489147662796e-15,8.894786834716797
6,6,HLA-DQA1,4.825891494750977,1.344489147662796e-15,8.894235610961914
6,7,CST3,4.912788391113281,1.567946218754751e-15,8.85997486114502
6,8,FCER1A,8.774559020996094,2.070568555326394e-14,8.552179336547852
6,9,HLA-DRB5,3.888589859008789,3.9725367815826865e-14,8.462947845458984
6,10,HLA-DMA,3.505625009536743,2.3208372158003404e-12,7.9620361328125
6,11,HLA-DQB1,4.084104061126709,2.6467167723410934e-12,7.933944225311279
6,12,HLA-DQA2,4.1760101318359375,3.008694340080968e-10,7.3119635581970215
6,13,LSP1,2.206800937652588,5.184969481546363e-10,7.217554092407227
6,14,LYZ,4.25775146484375,6.112374117483112e-10,7.18571662902832
6,15,CLEC10A,6.929531097412109,1.520295365559836e-09,7.051207542419434
6,16,AP1S2,2.9669389724731445,1.725660219506126e-09,7.025099277496338
6,17,GRN,3.034282684326172,2.458307989268332e-09,6.967483997344971
6,18,GPX1,2.801936388015747,3.2446606971362834e-09,6.920664310455322
6,19,VIM,2.0125842094421387,3.4822269648416817e-09,6.903368949890137
6,20,GSTP1,2.7004032135009766,4.956558617264546e-09,6.846084117889404
6,21,CPVL,3.635361909866333,3.547993637219337e-08,6.5516180992126465
6,22,HLA-DMB,2.953061580657959,9.926228922196495e-08,6.389458179473877
6,23,ANXA2,2.4289894104003906,1.1199156231652671e-07,6.364450931549072
6,24,H2AFY,2.5226516723632812,1.4916454517313593e-07,6.313996315002441
6,25,LGALS1,2.9443578720092773,2.980722986221848e-07,6.1998677253723145
7,1,PF4,12.905740737915039,7.725968615950534e-07,6.22804594039917
7,2,GNG11,12.428449630737305,7.725968615950534e-07,6.227680683135986
7,3,SDPR,11.863665580749512,7.725968615950534e-07,6.227680683135986
7,4,PPBP,13.035219192504883,7.725968615950534e-07,6.227315902709961
7,5,NRGN,9.09290885925293,7.725968615950534e-07,6.225490570068359
7,6,SPARC,10.895901679992676,7.725968615950534e-07,6.220745086669922
7,7,GPX1,6.478824138641357,7.725968615950534e-07,6.220745086669922
7,8,TPM4,6.943187236785889,7.725968615950534e-07,6.214174747467041
7,9,RGS18,8.606297492980957,7.725968615950534e-07,6.213079452514648
7,10,CALM3,4.917319297790527,7.725968615950534e-07,6.185337066650391
7,11,RGS10,5.009801387786865,9.992881560052564e-07,6.111234664916992
7,12,TAGLN2,4.831951141357422,9.992881560052564e-07,6.068525791168213
7,13,MYL6,2.8499062061309814,2.1088760580741285e-06,5.890753746032715
7,14,OAZ1,3.218449592590332,2.3213545920126877e-06,5.850234508514404
7,15,GP9,12.91039752960205,3.5570382720256976e-06,5.747112274169922
7,16,HIST1H2AC,9.467659950256348,3.707430786241578e-06,5.73378849029541
7,17,CD9,9.544075012207031,3.707430786241578e-06,5.730685710906982
7,18,MYL12A,2.825047492980957,4.2866487944432485e-06,5.692721843719482
7,19,CCL5,5.616935729980469,4.3296234752312406e-06,5.68268346786499
7,20,ITM2B,2.767014503479004,6.351513867316113e-06,5.577371120452881
7,21,SH3BGRL3,3.0299389362335205,6.351513867316113e-06,5.57645845413208
7,22,ACTB,2.461962938308716,1.448393970919678e-05,5.3946709632873535
7,23,H3F3A,3.936246156692505,1.6492911514195473e-05,5.365833282470703
7,24,PRDX6,4.539643287658691,2.541958838067174e-05,5.272748947143555
7,25,AP001189.4,12.177617073059082,2.541958838067174e-05,5.268368721008301
